Start time: 1376316817.34, Players: 1
End time: 1376316912.28, Score: 1300
Player,Time,HR
Black,2013-08-12 10:14:05.788262,50.6021499634
Black,2013-08-12 10:14:05.873108,50.5816917419
Black,2013-08-12 10:14:05.953089,50.5594329834
Black,2013-08-12 10:14:06.044083,50.5845222473
Black,2013-08-12 10:14:06.126328,50.5629653931
Black,2013-08-12 10:14:06.211903,50.5468177795
Black,2013-08-12 10:14:06.296008,50.5228462219
Black,2013-08-12 10:14:06.389112,50.4951667786
Black,2013-08-12 10:14:06.466950,50.4868049622
Black,2013-08-12 10:14:06.549264,50.4990158081
Black,2013-08-12 10:14:06.636316,50.5084953308
Black,2013-08-12 10:14:06.718188,50.5578155518
Black,2013-08-12 10:14:06.801571,50.5421829224
Black,2013-08-12 10:14:06.884326,50.5236778259
Black,2013-08-12 10:14:06.967214,50.5161781311
Black,2013-08-12 10:14:07.071532,50.4859352112
Black,2013-08-12 10:14:07.151834,50.4493560791
Black,2013-08-12 10:14:07.252606,50.4483604431
Black,2013-08-12 10:14:07.340595,50.4989204407
Black,2013-08-12 10:14:07.426859,50.4930076599
Black,2013-08-12 10:14:07.504125,50.5112571716
Black,2013-08-12 10:14:07.586586,50.5246124268
Black,2013-08-12 10:14:07.667811,50.5096168518
Black,2013-08-12 10:14:07.748860,50.5013275146
Black,2013-08-12 10:14:07.827452,50.4928665161
Black,2013-08-12 10:14:07.910907,50.4843597412
Black,2013-08-12 10:14:07.996741,50.4617042542
Black,2013-08-12 10:14:08.076604,50.4720153809
Black,2013-08-12 10:14:08.161265,50.4888343811
Black,2013-08-12 10:14:08.241918,50.4698295593
Black,2013-08-12 10:14:08.326665,50.4723968506
Black,2013-08-12 10:14:08.408211,50.4509010315
Black,2013-08-12 10:14:08.490068,50.4356231689
Black,2013-08-12 10:14:08.571886,50.4167709351
Black,2013-08-12 10:14:08.657394,50.3961334229
Black,2013-08-12 10:14:08.736012,50.3834037781
Black,2013-08-12 10:14:08.820947,50.3621330261
Black,2013-08-12 10:14:08.906371,50.4946479797
Black,2013-08-12 10:14:08.990362,50.5291748047
Black,2013-08-12 10:14:09.074700,50.5646018982
Black,2013-08-12 10:14:09.161298,50.5369300842
Black,2013-08-12 10:14:09.245814,50.5078582764
Black,2013-08-12 10:14:09.328745,50.4932289124
Black,2013-08-12 10:14:09.412269,50.4723815918
Black,2013-08-12 10:14:09.488182,50.4620552063
Black,2013-08-12 10:14:09.571462,50.4504051208
Black,2013-08-12 10:14:09.655675,50.4328117371
Black,2013-08-12 10:14:09.737532,50.4166412354
Black,2013-08-12 10:14:09.819895,50.4000167847
Black,2013-08-12 10:14:09.899132,50.3866539001
Black,2013-08-12 10:14:09.982314,50.3660316467
Black,2013-08-12 10:14:10.064523,50.3523635864
Black,2013-08-12 10:14:10.145488,50.3317527771
Black,2013-08-12 10:14:10.227340,50.3201599121
Black,2013-08-12 10:14:10.308891,50.3635902405
Black,2013-08-12 10:14:10.390494,50.3535194397
Black,2013-08-12 10:14:10.470633,50.3390769958
Black,2013-08-12 10:14:10.550926,50.3250999451
Black,2013-08-12 10:14:10.644092,50.3067207336
Black,2013-08-12 10:14:10.724631,50.2847328186
Black,2013-08-12 10:14:10.804372,50.2632102966
Black,2013-08-12 10:14:10.888475,50.2509689331
Black,2013-08-12 10:14:10.968421,50.2364959717
Black,2013-08-12 10:14:11.057390,50.2158126831
Black,2013-08-12 10:14:11.136309,50.1956748962
Black,2013-08-12 10:14:11.217068,50.1811752319
Black,2013-08-12 10:14:11.303526,50.1682929993
Black,2013-08-12 10:14:11.390943,50.1654014587
Black,2013-08-12 10:14:11.471697,50.1512145996
Black,2013-08-12 10:14:11.547706,50.1353530884
Black,2013-08-12 10:14:11.628724,50.1239471436
Black,2013-08-12 10:14:11.712072,50.1069412231
Black,2013-08-12 10:14:11.791681,50.0949058533
Black,2013-08-12 10:14:11.872989,50.083065033
Black,2013-08-12 10:14:11.957624,50.0794677734
Black,2013-08-12 10:14:12.037935,50.0907821655
Black,2013-08-12 10:14:12.125401,50.0949211121
Black,2013-08-12 10:14:12.213200,50.0882110596
Black,2013-08-12 10:14:12.297273,50.0853996277
Black,2013-08-12 10:14:12.377869,50.0894470215
Black,2013-08-12 10:14:12.457432,50.0970573425
Black,2013-08-12 10:14:12.535998,50.1078071594
Black,2013-08-12 10:14:12.615665,50.1255722046
Black,2013-08-12 10:14:12.692934,50.1309776306
Black,2013-08-12 10:14:12.772153,50.1493301392
Black,2013-08-12 10:14:12.850939,50.1523017883
Black,2013-08-12 10:14:12.932400,50.1591949463
Black,2013-08-12 10:14:13.018180,50.167339325
Black,2013-08-12 10:14:13.102336,50.1636352539
Black,2013-08-12 10:14:13.189487,50.1599617004
Black,2013-08-12 10:14:13.282920,50.1349067688
Black,2013-08-12 10:14:13.371262,50.1081008911
Black,2013-08-12 10:14:13.456679,50.0867385864
Black,2013-08-12 10:14:13.535780,50.0795860291
Black,2013-08-12 10:14:13.620983,50.0675506592
Black,2013-08-12 10:14:13.701571,50.071975708
Black,2013-08-12 10:14:13.786710,50.0758934021
Black,2013-08-12 10:14:13.865406,50.0858917236
Black,2013-08-12 10:14:13.945979,50.0853614807
Black,2013-08-12 10:14:14.027084,50.0791816711
Black,2013-08-12 10:14:14.109511,50.074256897
Black,2013-08-12 10:14:14.193354,50.0683670044
Black,2013-08-12 10:14:14.280412,50.0580978394
