Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:47:55.573219,51.7392463684
Black,2013-08-02 10:47:55.666239,55.3624725342
Black,2013-08-02 10:47:55.768641,55.0177879333
Black,2013-08-02 10:47:55.861651,54.6709899902
Black,2013-08-02 10:47:55.959003,54.3259010315
Black,2013-08-02 10:47:56.059209,53.9776878357
Black,2013-08-02 10:47:56.159271,53.6423721313
Black,2013-08-02 10:47:56.250602,53.3102149963
Black,2013-08-02 10:47:56.345108,52.9997444153
Black,2013-08-02 10:47:56.437745,52.6842880249
Black,2013-08-02 10:47:56.525615,52.396648407
Black,2013-08-02 10:47:56.616979,52.1029510498
Black,2013-08-02 10:47:56.704475,51.8198280334
Black,2013-08-02 10:47:56.796090,51.5322113037
Black,2013-08-02 10:47:56.892241,54.898399353
Black,2013-08-02 10:47:56.982289,54.5898323059
Black,2013-08-02 10:47:57.072526,54.2788276672
Black,2013-08-02 10:47:57.160472,54.0008239746
Black,2013-08-02 10:47:57.253163,53.6989364624
Black,2013-08-02 10:47:57.341615,53.4190139771
Black,2013-08-02 10:47:57.424674,53.1541633606
Black,2013-08-02 10:47:57.513473,52.8800239563
Black,2013-08-02 10:47:57.602581,52.6061325073
Black,2013-08-02 10:47:57.687903,52.3386497498
Black,2013-08-02 10:47:57.772865,52.0801849365
Black,2013-08-02 10:47:57.859445,55.2791290283
Black,2013-08-02 10:47:57.945033,55.0107116699
Black,2013-08-02 10:47:58.027487,54.7458152771
Black,2013-08-02 10:47:58.121674,54.4555053711
Black,2013-08-02 10:47:58.207450,54.1922836304
Black,2013-08-02 10:47:58.299826,53.9105033875
Black,2013-08-02 10:47:58.393807,53.64012146
Black,2013-08-02 10:47:58.485306,53.3620910645
Black,2013-08-02 10:47:58.581456,53.0916862488
Black,2013-08-02 10:47:58.664063,52.8253746033
Black,2013-08-02 10:47:58.760095,59.130115509
Black,2013-08-02 10:47:58.851757,58.8281059265
Black,2013-08-02 10:47:58.939644,58.5512084961
Black,2013-08-02 10:47:59.028374,61.5103721619
Black,2013-08-02 10:47:59.120295,61.2027397156
Black,2013-08-02 10:47:59.206995,60.9150085449
Black,2013-08-02 10:47:59.290973,60.6441612244
Black,2013-08-02 10:47:59.376580,60.3700447083
Black,2013-08-02 10:47:59.463145,60.1033439636
Black,2013-08-02 10:47:59.554276,59.8170776367
Black,2013-08-02 10:47:59.640183,59.5406112671
Black,2013-08-02 10:47:59.729108,59.2665214539
Black,2013-08-02 10:47:59.818094,58.9919471741
Black,2013-08-02 10:47:59.903559,58.7311096191
Black,2013-08-02 10:47:59.993554,58.4580307007
Black,2013-08-02 10:48:00.095318,61.2466468811
Black,2013-08-02 10:48:00.185721,60.9520988464
Black,2013-08-02 10:48:00.281145,60.6485595703
Black,2013-08-02 10:48:00.377567,60.3673553467
Black,2013-08-02 10:48:00.481630,60.0537567139
Black,2013-08-02 10:48:00.574944,59.7707748413
